timestamp,tradeType,price,available_amount,min_single_trans,max_single_trans,payment_methods,nickName
2025-10-28T21:18:59.145086+00:00,SELL,1489.01,1736.62,200000.0,2585844.0,"Lemon Cash, Mercadopago, Naranja X, Uala, Banco Brubank",VolumenExpress
2025-10-28T21:18:59.145094+00:00,SELL,1489.0,8292.59,2000000.0,12347666.0,Mercadopago,EQRCrypto
2025-10-28T21:18:59.145102+00:00,SELL,1489.0,292.68,25000.0,400000.0,"Uala, Fiwind, Prex, Bank Transfer, Mercadopago",Gasti96
2025-10-28T21:18:59.145109+00:00,SELL,1489.0,300.0,100000.0,446700.0,"Belo app, Naranja X, Mercadopago, Lemon Cash, Banco Brubank",mw-project
2025-10-28T21:18:59.145118+00:00,SELL,1489.0,1017.25,1000000.0,1350000.0,"Fiwind, Mercadopago, Banco Brubank, Naranja X, Lemon Cash",MirageCRIPTO94
2025-10-28T21:18:59.145126+00:00,SELL,1488.8,472.73,10000.0,703800.0,"Fiwind, Prex, Bank Transfer, Bank Transfer (Argentina), Uala",DamiCripto
2025-10-28T21:18:59.145134+00:00,SELL,1488.6,966.05,250000.0,1438062.0,"Lemon Cash, Banco Brubank, Mercadopago, Uala, Bank Transfer (Argentina)",Horizon-Exchange
2025-10-28T21:18:59.145143+00:00,SELL,1488.56,48182.95,350000.0,8000000.0,"Naranja X, Lemon Cash, Mercadopago, Bank Transfer (Argentina), Banco Brubank",Bnet450
2025-10-28T21:18:59.145151+00:00,SELL,1488.55,1073.82,300000.0,1598434.0,"Lemon Cash, Prex, Bank Transfer, Mercadopago, Banco Brubank",ema
2025-10-28T21:18:59.145162+00:00,SELL,1488.5,298.37,100000.0,444123.0,"Lemon Cash, Mercadopago, BBVA, Banco Brubank, Naranja X",Alemaniacripto
2025-10-28T21:18:59.939461+00:00,BUY,1491.0,300.0,375000.0,376000.0,Mercadopago,Cripto_Border
2025-10-28T21:18:59.939501+00:00,BUY,1492.99,400.0,50000.0,596003.0,Naranja X,cbusines
2025-10-28T21:18:59.939511+00:00,BUY,1493.0,100.0,100000.0,149001.0,"Bank Transfer (Argentina), Banco Brubank",Tinlop
2025-10-28T21:18:59.939519+00:00,BUY,1493.0,277.38,8000.0,413301.0,"Mercadopago, Lemon Cash, Banco Brubank, Bank Transfer (Argentina), Uala",sergiocripto71
2025-10-28T21:18:59.939528+00:00,BUY,1493.0,100.0,28200.0,28300.0,"Lemon Cash, Naranja X, Mercadopago, Banco Brubank, Uala",Nromano
2025-10-28T21:18:59.939536+00:00,BUY,1493.0,167.75,50000.0,249950.0,Naranja X,Lukask12
2025-10-28T21:18:59.939545+00:00,BUY,1493.5,263.81,10000.0,150000.0,"Mercadopago, Uala, Lemon Cash, Banco Brubank, Naranja X",Full-Crypto76
2025-10-28T21:18:59.939553+00:00,BUY,1493.5,2976.47,200000.0,4440917.0,"Banco Brubank, Uala, Naranja X, Mercadopago",EQRCrypto
2025-10-28T21:18:59.939562+00:00,BUY,1493.8,955.25,10000.0,1424104.0,"Bank Transfer (Argentina), Fiwind, Naranja X, Prex, Bank Transfer",DamiCripto
2025-10-28T21:18:59.939570+00:00,BUY,1493.9,600.0,200000.0,894908.0,"Bank Transfer (Argentina), Uala, Lemon Cash",ChessCrypto
2025-10-28T21:18:59.939578+00:00,BUY,1493.98,1412.87,100000.0,2107848.0,"Mercadopago, Banco Brubank, Lemon Cash, Bank Transfer (Argentina), Naranja X",Cassius_Clay
2025-10-28T21:18:59.939586+00:00,BUY,1494.0,339.55,35000.0,506275.0,"Bank Transfer (Argentina), Wilobank, Naranja X, Banco del Sol",Kmarket
2025-10-28T21:18:59.939594+00:00,BUY,1494.0,598.65,10000.0,892597.0,"Mercadopago, Naranja X",Okyyypy
2025-10-28T21:18:59.939601+00:00,BUY,1494.0,135.0,50000.0,201367.0,Bank Transfer (Argentina),Intercambio
2025-10-28T21:18:59.939609+00:00,BUY,1494.1,378.21,100000.0,563955.0,"Mercadopago, Naranja X, Lemon Cash",FUendiagonal
2025-10-28T21:18:59.939618+00:00,BUY,1494.13,2913.49,150000.0,4347046.0,"Banco Brubank, Mercadopago, Bank Transfer (Argentina), Lemon Cash, Naranja X",ezequiel21
2025-10-28T21:18:59.939626+00:00,BUY,1494.2,13.08,10000.0,19512.0,"Mercadopago, Lemon Cash, Banco Brubank, Bank Transfer (Argentina)",Dvidana
2025-10-28T21:18:59.939634+00:00,BUY,1494.25,41.19,50000.0,61462.0,"Mercadopago, Lemon Cash",facu99
2025-10-28T21:18:59.939641+00:00,BUY,1494.29,172.0,70000.0,256607.0,"Bank Transfer (Argentina), Banco Santander Argentina",Giuseppe
2025-10-28T21:18:59.939650+00:00,BUY,1494.69,446.4,50000.0,666163.0,"Uala, Lemon Cash, Bank Transfer (Argentina), Banco Brubank, Reba",-CryptoFree-
2025-10-28T21:24:00.895194+00:00,SELL,1491.5,33.69,49000.0,49470.0,Lemon Cash,LinceX
2025-10-28T21:24:00.895237+00:00,SELL,1490.53,122.02,8000.0,181874.0,"Mercadopago, Naranja X, Lemon Cash, Belo app, Bank Transfer (Argentina)",AdrielxLaraCatan
2025-10-28T21:24:00.895247+00:00,SELL,1490.17,758.3,90000.0,1129995.0,"Mercadopago, Lemon Cash, Uala, Banco Brubank",iandrewtate
2025-10-28T21:24:00.895255+00:00,SELL,1490.15,8589.16,800000.0,12799136.0,Lemon Cash,DarkHold_
2025-10-28T21:24:00.895263+00:00,SELL,1490.0,236.29,300000.0,352072.0,"Naranja X, Lemon Cash, Mercadopago, Bank Transfer (Argentina), Banco Brubank",lordnestt
2025-10-28T21:24:00.895272+00:00,SELL,1490.0,8292.59,2000000.0,12355959.0,Mercadopago,EQRCrypto
2025-10-28T21:24:00.895280+00:00,SELL,1489.9,292.5,9000.0,435795.0,"Uala, Fiwind, Prex, Bank Transfer, Mercadopago",Gasti96
2025-10-28T21:24:00.895287+00:00,SELL,1489.5,1466.05,500000.0,2183681.0,Mercadopago,FuriaLuminosa
2025-10-28T21:24:00.895295+00:00,SELL,1489.27,100.0,8000.0,30000.0,"Bank Transfer (Argentina), Banco Brubank, Mercadopago, Uala",AstonCapital
2025-10-28T21:24:00.895303+00:00,SELL,1489.26,110.0,10000.0,100000.0,"Lemon Cash, Uala, Mercadopago, Banco Brubank",misiocrypto
2025-10-28T21:24:00.895312+00:00,SELL,1489.14,1073.82,200000.0,1599068.0,"Lemon Cash, Prex, Bank Transfer, Mercadopago, Banco Brubank",ema
2025-10-28T21:24:00.895320+00:00,SELL,1489.02,519.88,30000.0,774111.0,Lemon Cash,Mrode_CARP
2025-10-28T21:24:00.895328+00:00,SELL,1489.01,1265.05,200000.0,1883672.0,"Lemon Cash, Mercadopago, Naranja X, Uala, Banco Brubank",VolumenExpress
2025-10-28T21:24:00.895336+00:00,SELL,1489.0,300.0,100000.0,446700.0,"Belo app, Naranja X, Mercadopago, Lemon Cash, Banco Brubank",mw-project
2025-10-28T21:24:00.895344+00:00,SELL,1489.0,1017.25,1000000.0,1350000.0,"Fiwind, Mercadopago, Banco Brubank, Naranja X, Lemon Cash",MirageCRIPTO94
2025-10-28T21:24:00.895352+00:00,SELL,1488.8,472.73,10000.0,703800.0,"Fiwind, Prex, Bank Transfer, Bank Transfer (Argentina), Uala",DamiCripto
2025-10-28T21:24:00.895376+00:00,SELL,1488.69,250.0,250000.0,372172.0,"Banco Brubank, Lemon Cash, Mercadopago, Naranja X, Bank Transfer",cbacrypt
2025-10-28T21:24:00.895385+00:00,SELL,1488.6,406.68,250000.0,605383.0,"Lemon Cash, Banco Brubank, Mercadopago, Uala, Bank Transfer (Argentina)",Horizon-Exchange
2025-10-28T21:24:00.895393+00:00,SELL,1488.16,6710.81,300000.0,9986759.0,"Mercadopago, Lemon Cash, Bank Transfer (Argentina), Banco Brubank, Naranja X",TradeArg
2025-10-28T21:24:00.895401+00:00,SELL,1488.15,45428.0,350000.0,8000000.0,"Naranja X, Lemon Cash, Mercadopago, Bank Transfer (Argentina), Banco Brubank",Bnet450
2025-10-28T21:24:01.715516+00:00,BUY,1491.0,300.0,375000.0,376000.0,Mercadopago,Cripto_Border
2025-10-28T21:24:01.715557+00:00,BUY,1492.99,400.0,50000.0,596003.0,Naranja X,cbusines
2025-10-28T21:24:01.715566+00:00,BUY,1493.0,100.0,100000.0,149001.0,"Bank Transfer (Argentina), Banco Brubank",Tinlop
2025-10-28T21:24:01.715575+00:00,BUY,1493.0,256.27,8000.0,381847.0,"Mercadopago, Lemon Cash, Banco Brubank, Bank Transfer (Argentina), Uala",sergiocripto71
2025-10-28T21:24:01.715584+00:00,BUY,1493.0,100.0,7900.0,20000.0,Mercadopago,Leocandia
2025-10-28T21:24:01.715591+00:00,BUY,1493.0,167.75,50000.0,249950.0,"Naranja X, Mercadopago, Uala",Lukask12
2025-10-28T21:24:01.715600+00:00,BUY,1493.5,263.81,10000.0,150000.0,"Mercadopago, Uala, Lemon Cash, Banco Brubank, Naranja X",Full-Crypto76
2025-10-28T21:24:01.715609+00:00,BUY,1493.8,955.25,10000.0,1424104.0,"Bank Transfer (Argentina), Fiwind, Naranja X, Prex, Bank Transfer",DamiCripto
2025-10-28T21:24:01.715617+00:00,BUY,1493.9,189.89,200000.0,283223.0,"Bank Transfer (Argentina), Uala, Lemon Cash",ChessCrypto
2025-10-28T21:24:01.715625+00:00,BUY,1494.0,339.55,35000.0,506275.0,"Bank Transfer (Argentina), Wilobank, Naranja X, Banco del Sol",Kmarket
2025-10-28T21:24:01.715632+00:00,BUY,1494.0,598.65,10000.0,892597.0,"Mercadopago, Naranja X",Okyyypy
2025-10-28T21:24:01.715640+00:00,BUY,1494.0,74.67,50000.0,111378.0,Bank Transfer (Argentina),Intercambio
2025-10-28T21:24:01.715647+00:00,BUY,1494.0,16.43,10000.0,24507.0,"Mercadopago, Lemon Cash, Belo app, Prex, Reba",splcrypto
2025-10-28T21:24:01.715656+00:00,BUY,1494.0,311.99,10000.0,250000.0,"Naranja X, Mercadopago, Lemon Cash",chechamar74
2025-10-28T21:24:01.715664+00:00,BUY,1494.1,378.21,100000.0,563955.0,"Mercadopago, Naranja X, Lemon Cash",FUendiagonal
2025-10-28T21:24:01.715672+00:00,BUY,1494.19,5575.12,400000.0,8318642.0,"Mercadopago, Lemon Cash, Banco Brubank, Bank Transfer (Argentina), Naranja X",Bnet450
2025-10-28T21:24:01.715681+00:00,BUY,1494.64,6865.4,500000.0,10246955.0,"Mercadopago, Lemon Cash, Bank Transfer (Argentina), Banco Brubank, Naranja X",ArgentinaCrypto
2025-10-28T21:24:01.715689+00:00,BUY,1494.65,2813.0,150000.0,4198572.0,"Banco Brubank, Mercadopago, Bank Transfer (Argentina), Lemon Cash, Naranja X",ezequiel21
2025-10-28T21:24:01.715697+00:00,BUY,1494.8,1200.0,75000.0,480000.0,"Mercadopago, Lemon Cash, Banco Brubank, Naranja X, Uala",BETO280
2025-10-28T21:24:01.715704+00:00,BUY,1494.9,3108.52,300000.0,4640429.0,"Uala, Lemon Cash, Mercadopago, Banco Brubank, Bank Transfer (Argentina)",GONAM_Cv
2025-10-28T21:29:02.702772+00:00,SELL,1493.0,479.05,7840.0,715221.0,"Banco Brubank, Banco Santander Argentina, Bank Transfer (Argentina), Lemon Cash, Naranja X",ElCriptonauta
